address,latitude,longitude,name,number,street1,street2,cluster1,cluster2,cluster
Hastings St / Macquarie St,-27.460914,153.04987,71 - HASTINGS ST / MACQUARIE ST,71,Hastings St,Macquarie St,8.0,8.0,21.0
Lamington St / Powerhouse,-27.467802,153.053645,72 - LAMINGTON ST / POWERHOUSE,72,Lamington St,Powerhouse,26.0,8.0,11.0
Lamington St / Refinery Pde,-27.465226,153.050864,73 - LAMINGTON ST / REFINERY PDE,73,Lamington St,Refinery Pde,26.0,8.0,18.0
Merthyr Rd / James St,-27.463678,153.049485,74 - MERTHYR RD / JAMES ST,74,Merthyr Rd,James St,13.0,17.0,17.0
Browne St / James St,-27.461880999999998,153.046986,75 - BROWNE ST / JAMES ST,75,Browne St,James St,8.0,17.0,18.0
WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,-27.448074,153.045762,76 - WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,76,WATERLOO ST (GASWORKS PARK),NEWSTEAD TCE,8.0,8.0,21.0
James St / Harcourt St,-27.458199,153.041688,77 - JAMES ST / HARCOURT ST,77,James St,Harcourt St,17.0,8.0,18.0
Malt St / Brunswick St,-27.461041,153.037902,78 - MALT ST / BRUNSWICK ST,78,Malt St,Brunswick St,8.0,16.0,5.0
Balfour St / Brunswick St,-27.463431,153.041031,79 - BALFOUR ST / BRUNSWICK ST,79,Balfour St,Brunswick St,8.0,16.0,16.0
Barker St / Brunswick St,-27.464681,153.042561,80 - BARKER ST / BRUNSWICK ST,80,Barker St,Brunswick St,8.0,16.0,5.0
Griffith St / Riverview Ct,-27.471886,153.041854,81 - GRIFFITH ST / RIVERVIEW CT,81,Griffith St,Riverview Ct,8.0,8.0,16.0
Brunswick St / Merthyr Rd,-27.467498,153.0467,82 - BRUNSWICK ST / MERTHYR RD,82,Brunswick St,Merthyr Rd,16.0,13.0,17.0
Sydney St / Brunswick St,-27.468407,153.048273,83 - SYDNEY ST / BRUNSWICK ST,83,Sydney St,Brunswick St,8.0,16.0,5.0
New Farm Ferry Terminal / New Farm Park,-27.471481,153.051966,84 - NEW FARM FERRY TERMINAL / NEW FARM PARK,84,New Farm Ferry Terminal,New Farm Park,8.0,8.0,22.0
Oxlade Dr / Turner Ave,-27.473304,153.048757,85 - OXLADE DR / TURNER AVE,85,Oxlade Dr,Turner Ave,8.0,8.0,11.0
Sydney St / Moray St,-27.471422,153.04519,86 - SYDNEY ST / MORAY ST,86,Sydney St,Moray St,8.0,8.0,16.0
Merthyr Rd / Reginald St,-27.469931,153.043525,87 - MERTHYR RD / REGINALD ST,87,Merthyr Rd,Reginald St,13.0,8.0,5.0
Sydney St Ferry Terminal / Park,-27.474531,153.042728,88 - SYDNEY ST FERRY TERMINAL / PARK,88,Sydney St Ferry Terminal,Park,8.0,8.0,18.0
Holman St / Main St,-27.465733,153.034329,89 - HOLMAN ST / MAIN ST,89,Holman St,Main St,8.0,8.0,5.0
Main St / Rotherham St (Mahoney Park),-27.469296,153.035533,90 - MAIN ST / ROTHERHAM ST (MAHONEY PARK),90,Main St,Rotherham St (Mahoney Park),8.0,8.0,5.0
Main St / Darragh St,-27.47059,153.036046,91 - MAIN ST / DARRAGH ST,91,Main St,Darragh St,8.0,8.0,18.0
Thornton St Ferry Terminal / Main St,-27.471025,153.034306,92 - THORNTON ST FERRY TERMINAL / MAIN ST,92,Thornton St Ferry Terminal,Main St,8.0,8.0,21.0
Grey St / QCA,-27.48148,153.02368,93 - GREY ST / QCA,93,Grey St,QCA,8.0,8.0,18.0
